"Fecha","Marca","Locación","Canal","ID de la orden","Estado de la orden","Subtotal","Impuesto","Descuentos","Cargos por error en el pedido","Código de moneda"
"2023-10-28 21:13:09","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","775584558","Entregado","23,3","0","0","0","EUR"
"2023-10-27 21:20:48","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","775032675","Entregado","32,4","0","0","0","EUR"
"2023-10-22 21:39:34","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","772990096","Entregado","27,5","0","0","0","EUR"
"2023-10-22 14:33:26","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","772788122","Entregado","12","0","0","0","EUR"
"2023-10-22 14:14:31","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","772782637","Entregado","30,6","0","0","0","EUR"
"2023-10-21 21:52:04","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","772464515","Entregado","13,9","0","0","0","EUR"
"2023-10-21 21:11:38","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","772458010","Entregado","41,8","0","0","0","EUR"
"2023-10-20 22:02:23","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","771911386","Entregado","37,4","0","0","0","EUR"
"2023-10-14 20:40:11","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","769271021","Entregado","22,1","0","0","0","EUR"
"2023-10-11 20:53:42","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","767676917","Entregado","12","0","0","0","EUR"
"2023-10-09 14:24:59","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","766920685","Entregado","44,3","0","0","0","EUR"
"2023-10-09 13:31:29","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","766911811","Entregado","20,8","0","0","0","EUR"
"2023-10-07 20:49:12","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","766122989","Entregado","36,8","0","0","0","EUR"
"2023-10-07 15:14:34","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","765927419","Entregado","37,6","0","0","0","EUR"
"2023-10-03 22:27:41","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","764196735","Entregado","12,4","0","0","0","EUR"
"2023-10-03 20:36:32","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","764160858","Entregado","39,6","0","0","0","EUR"
"2023-10-03 20:01:20","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","764137898","Entregado","13,7","0","0","0","EUR"
"2023-10-01 13:48:30","Tepuy Burger","Tepuy Burger - Calle Bazan","gloria-foods","763099148","Entregado","27,2","0","0","0","EUR"
